IDNum,Name,State,Country
412,"Fuller Diagnostics, LLC",AK,USA
414,Aero Doc Inc,FL,USA
415,"Colimore Architects, Inc.",MD,USA
423,Shreeji Smart Solutions,NJ,USA
424,Oceanside Community Association,CA,USA
425,Workpulse LLC,NJ,USA
427,Cleveland Crane & Shovel Sales Inc,OH,USA
429,Foundry Solutions & Design,GA,USA
430,American Association for Debt Resolution (AADR) ,FL,USA
431,Penn Engineering & Technical Service LLC,AR,USA
432,"Seaside Villas of Anastasia Island Condominium Association, Inc.",FL,USA
434,Park Place Owners Association Inc,FL,USA
435,Heyward Russell Studio ,GA,USA
436,Expo Medical Supply LLC,FL,USA
437,Eldorado Greens Condominium Association,CA,USA
439,Salt Lake Manor AOAO,HI,USA
441,"Keyser, LLC",AZ,USA
442,"El Paso Academy, Inc.",TX,USA
448,Robert Fairbank (DBA) Fairbank ADR,CA,USA
449,"Impact Signs, LLC",HI,USA
450,Lesley J. Murakami Trust,HI,USA
451,"Seg Kahului, LLC; 2024 Tacoma, LLC ",WA,USA
453,"MBA Consulting Engineers, Inc",AK,USA
457,"Char Sakamoto Ishii Lum & Ching, Aal, Alc",HI,USA
462,"Titanish, LLC",VA,USA
463,Frankenmuth Insurance Company ,MI,USA
464,"Fisher Engineering, Inc.",GA,USA
465,Oxford Crossing HOA,PA,USA
466,"One Design Consultants, LLC",OH,USA
467,"Makena Surf, AOAO",HI,USA
468,"Mobility Development Operations, LLC",IL,USA
470,"Vincent J. Frisina, P.E., P.L.L.C. ",NY,USA
472,"Indiana Chamber of Commerce, Inc. ",IN,USA
474,"State Materials Engineering, LLC",IL,USA
475,"Casa Bonita I Condominium Association, Inc",FL,USA
476,Louisiana School Boards Association,LA,USA
477,Mauro R. Weyant,CA,USA
478,Kella Agency LLC,NY,USA
479,Webco Aerial Testing & Truck Inspection Inc ,TX,USA
481,"Soluta, Inc.",TX,USA
482,"Eclipse Engineering, PC",MT,USA
483,Larry W Garnett & Associates ,TX,USA
484,Shipyard Engineering LLC,MD,USA
486,Radius Track Corporation,MN,USA
488,Ocean Ranch at Bear Brand Association,CA,USA
489,TDC Virginia Benefits & Risk Management Inc.,VA,USA
490,"CBIZ Somerset RES, LLC",OH,USA
491,"J B Templeton Consulting, LLC",FL,USA
492,"Forensic Services Group, Inc.",IN,USA
497,"RASD Consulting Group, LP",TX,USA
498,AAA Mechanical Contractors Inc,IA,USA
499,"System D, LLC",TX,USA
500,"Cassetty Architects, PLLC",TN,USA
502,Pevco Systems International Inc,MD,USA
503,"Condominium Owners Organization of Century Village East, Inc.",FL,USA
504,"OMS Group, LLC",CA,USA
505,Windy Plains Marketing Inc,KS,USA
506,Blue Edge Infrastructure LLC,MO,USA
507,"Andrew M. Vogel, RA , Leed AP, Lean Practitioner",OH,USA
508,IES Global LLC,KY,USA
509,"TEAM Retirement Solutions, LLC",TX,USA
510,"The Shade Tree Department, LLC",NJ,USA
511,"OnSite Design, LLC",LA,USA
513,Architectural Landscape,CA,USA
514,Doyen Consulting LLC,WA,USA
516,"Air Systems Balancing and Testing Service, Inc.",NY,USA
517,"International Village Condo Association, Inc.",FL,USA
518,"T3 Alaska, LLC",AK,USA
519,"ADRES End to End Solutions, LLC",PA,USA
523,"National Claim Evaluations, Inc.",NY,USA
524,"Pilot Midtown, LLC",CA,USA
525,Lonestar Brokerage Inc,NY,USA
526,"Sharon Chrust & Assoc, LLC",CT,USA
527,Frederic Ballerini,CA,USA
528,"The Pierce Company, Inc.",CA,USA
529,"The Beach Club at Fontainbleau Park Condominium Association, Inc.",FL,USA
530,Precision Elevator Corp,NY,USA
532,Fuse Design Build LLC,OR,USA
535,McGraw Bagnoli Architects,DC,USA
536,Commodore Centre Condominium Asscoiation,FL,USA
537,"Alpine Environmental Consultants, LLC",CO,USA
538,Wingstuff.com Inc.,CA,USA
540,D & A Surveying Incorporated,KS,USA
541,Energy Air Inc.,CA,USA
542,John Moore Deffenbaugh,PA,USA
543,EngAssist LLC,FL,USA
544,"DERU Landscape Architecture, LLC",OH,USA
549,B. Black & Sons Inc.,CA,USA
550,"Tri Star Hotel Investment, Inc.",CA,USA
551,"SmartLandscapes DesignWorks, LLC",GA,USA
553,David Derrer Architect PLLC,WA,USA
554,"Talbot Associates, P.C.",MI,USA
555,Stillwater Development Services,TX,USA
556,"Law Offices of William D. Shapiro; William D. Shapiro 401k Plan and Trust Dated January 28,2003",CA,USA
557,Tea Tree Trading Company (DBA) The Soap Kitchen,CA,USA
558,Noel & Dian Lowe (DBA) Mission Valley Trophies,CA,USA
560,"Silver & Wright, LLP",CA,USA
561,Jessica Webb Ezzell,GA,USA
562,"RTS Insurance Agency, LLC",VA,USA
563,"Melborne Electric, LLC",PA,USA
564,Brobst Design Works,WA,USA
565,"Palm Beach Hotel Condominium Association, Inc.",FL,USA
567,"Pumping Services, Inc.",NJ,USA
568,"Cutting Edge Communications, LLC",CA,USA
571,"XP Health Insurance Solutions, LLC",CA,USA
572,"W.L. Tilley, III, P.E.",NC,USA
573,Engineering Ministries International USA,CO,USA
574,Hudson Boiler & Tank Company,IL,USA
576,"Cogent Advisors, LLC",MI,USA
577,"Inspection Service of CA, Inc.",CA,USA
578,"Samuel J. Styron Consulting Engineers, Inc.",MO,USA
580,"DK Associates, Inc.",CA,USA
581,"Bentley Building Company, LLC",MO,USA
584,"Campbell House Collective, Inc., Campbell House SAS",NV,USA
585,LPR Architecture,ID,USA
586,The Wilhelm Group LLC,HI,USA
588,FSC Architects LLC,HI,USA
590,"Safeway Management Group, Inc.",NY,USA
593,Ridgeview Saugus HOA,CA,USA
594,Brandon J Latham ,TX,USA
595,Garcia Architecture LLC,MO,USA
596,"Lee Vista Villages Building 2, LLC",FL,USA
597,"Hiline Nation, LLC",AZ,USA
600,"Power System Solutions Engineering Services, Inc.",AR,USA
601,"Henty & Associates, Architects LLC",MO,USA
602,"Design Collaborative, Inc.",CO,USA
603,Marine Colony Villas,FL,USA
605,"Coco Plum Beach & Tennis Club Condo. Assoc., Inc",FL,USA
606,"Burnt Store Village Property Owners Association, Inc",FL,USA
607,Hans Baumann Landscape Architecture PC,CA,USA
608,"Eddiep, LLP",TX,USA
609,Front Range Scientific,CO,USA
610,James Turnbow,WA,USA
611,Walz Consulting and Engineering,NY,USA
612,Erik Ohlson,CA,USA
613,"Mogel Partners, A General Partnership",CO,USA
615,"Bond Filipenko Commercial Properties, LLC",AK,USA
616,"Zeng Chiropractic Center, LLC (DBA) Zen Health Center",HI,USA
617,"Technology West Group, LLC",NV,USA
619,"Aquinnah Community Association, Inc.",MA,USA
620,"In Plus, Inc",NY,USA
621,"Interior Development & Design International, Inc",FL,USA
622,"JMY Law Group LLLC, a Limited Liability Law Company",HI,USA
623,"Glenn Kunimura, O.D. Inc",HI,USA
627,"Shaw Insurance Agency, Inc. dba Optima Insurance / Risk Management Services",TX,USA
628,"Computer Resources Hawaii, Inc.",HI,USA
629,MKB Technology LLC,FL,USA
630,United Engineering Inc,WA,USA
631,"Scherer Construction, LLC; Scherer Construction of North Florida, LLC",FL,USA
632,CMAD LLC,WV,USA
634,Clemson House II,CA,USA
636,"Mills Group, LLC",WV,USA
638,"Leeward Eye Care, Inc.",HI,USA
639,TDR Project Management Services Inc.,NY,USA
642,"BridgeTech, Inc.",WY,USA
643,Processtec Inc,CA,USA
644,Rathbun Regional Water Association,IA,USA
646,Southgroup Equities Inc,FL,USA
648,"Dr Christopher Sween Optometrist, Inc.",HI,USA
650,"NM Packaging Etc., Inc",HI,USA
651,Seki Trading Corporation (Dba) The Bakery,HI,USA
652,MKE Associates LLC; Miyasato Kuniyoshi Engineers LLC,HI,USA
653,Sindex Systems Inc,NY,USA
655,Torvalsen Consulting LLC,NY,USA
657,South of Tenth Business Center Owners Association,CA,USA
658,Seeber Solutions LLC,OR,USA
659,"2220 Canton Loft Condominiums Association, Inc.",TX,USA
660,"Providence Architecture, PA",NC,USA
661,"Casa Bonita Grande Condominium Association, Inc",FL,USA
663,"Materials Testing, Inc.",OH,USA
665,"Jockey Club Condo Apts., Inc. Phase I",FL,USA
666,CRE8IVEPOWER GROUP INC. ,CA,USA
667,Makaha Surfside AOAO,HI,USA
668,Brian J. Pape Architect & Consultant PC,NY,USA
669,Gregory Gibbons,CO,USA
670,"Andy Hubbard Insurance, Inc.",MS,USA
674,"Cold Climate Engineering, LLC",AK,USA
675,"Whitehead-Hancock Plumbing, Heating & Cooling Inc.",KY,USA
676,"Caspers Service Company, LLC",FL,USA
678,"A&E Engineering, Inc.",ID,USA
679,Beyond Property Management,CA,USA
680,"Shamron Beach Condominium Association, Inc",FL,USA
683,"Nelson Engineering, PC",AK,USA
684,"Wills Eye Surgical Network, LLC",PA,USA
685,Prestige Design Group,NJ,USA
686,"King-Collins Golf Course Design, LLC",TN,USA
687,"Dynamis Energy, LLC",FL,USA
688,Public Lighting Authority,MI,USA
689,"Southern Storage Management Systems, Inc",FL,USA
690,Gulf Coast Modular Homes LLC,LA,USA
691,"Sheldon Wiseman Commercial Real Estate, Inc.",AZ,USA
692,Druek's Hardware Inc. (DBA) Druek's True Value,NY,USA
695,Building Owners Elevator Advocates,CA,USA
696,Dotterweich Carlson Mehner Design Inc,CA,USA
697,"Design Develop, LLC",VA,USA
700,"Rodeberg & Berryman, Inc",MN,USA
701,Momentum Group Ltd,PA,USA
702,Tactical Design North,WI,USA
705,MGLM Architects. Ltd,IL,USA
706,"Robert D. O'Neil, Jr",MA,USA
707,"Gatty Products, Inc",NY,USA
709,Glanzer Insurance Agency LLC,NY,USA
710,Tru-Insurance LLC,TX,USA
711,"Brantin Engineering, LLC",LA,USA
712,"International Med Billing Services, LLC",NE,USA
713,Robert S. Lind ,NY,USA
716,"Main Street Engineering, Inc.",FL,USA
717,"Ritax, Inc",CA,USA
718,National Registry of Rehabilitation Technology Suppliers,GA,USA
719,"Elite Educators Insurance Agency, LLC",MI,USA
721,"Sunlight Solar Energy, Inc.",OR,USA
723,"Commercial Asset Advisors, LLC",HI,USA
724,NZS Worldwide Inc,CA,USA
725,Stellavise Inc,CA,USA
726,"D. Scott Wilson Land Surveyor, LLC",SC,USA
727,"A/E Pronet, Inc.",FL,USA
728,"The Aspen Mountain Residences Condo Association, Inc.",CO,USA
729,"Roman Design, LLC",OR,USA
730,Agile Mind Educational Holdings Inc,TX,USA
732,Banyan Springs Property Owners Association Inc,FL,USA
734,Centerline Group Inc ,CA,USA
735,"J.M. Verostko, Inc",OH,USA
737,McCullough Research LLC,OR,USA
738,KCR Systems LLC,NJ,USA
739,MRA Corporation,FL,USA
740,"C-TAC Innovations, Inc",DC,USA
742,"JG Rodriguez Engineering, LLC",TX,USA
743,"Salt Springs Resort Association, Inc.",FL,USA
744,James H. Kinney Inc.,CA,USA
745,Garrett Group Inc,VA,USA
746,"Aviem International, Inc.",GA,USA
748,CGMP Consulting Inc.,IL,USA
749,Larsen Surveying LLC,FL,USA
750,RuCon Engineers LLC,ID,USA
751,A Cell Communications Inc,NJ,USA
753,Alice Vassallo,CA,USA
757,"Arya Newport Crossing, LLC., a Delaware Limited Liability Company",CA,USA
760,"Alpha, LLC",MD,USA
762,Trustees of the Wollaston Family Trust,MT,USA
763,Stanley Schachne,FL,USA
764,Russell L. Bowman and Ryan Bowman,MT,USA
765,"Colonial Estates, Inc",FL,USA
766,Lawrence Sutter,MI,USA
767,City and Sea Group LLC,TX,USA
768,J.S.& S. Inc,NV,USA
770,Design Build Realty Group LLC,IL,USA
772,Hanaloa Enterprises Hawaii Inc.,HI,USA
775,NSL Site Layout LLC,TX,USA
776,Christopher L. Linford,AK,USA
779,WSDG Latin LLC,FL,USA
780,Creative Fit LLC,NV,USA
781,Novato Police Managers Association,CA,USA
782,John Logue (DBA) Ernies Tackle & Ski Shop,CA,USA
783,Be On Produce Inc.,CA,USA
784,San Joaquin General Hospital Auxiliary,CA,USA
786,Laborers International Union of North America Local No. #261,CA,USA
787,The Law Office of Joseph Ahuna Jr.,HI,USA
791,Pet Central LLC,CA,USA
794,"MTN Capital Partners, LLC",NY,USA
795,"Gerald A. Garcia, Attorney at Law, a Law Corporation (DBA) Hawaii Document Service",HI,USA
796,Elm Inc.,FL,USA
798,Triumph Development LLC,NC,USA
799,"Roxbury/South End Tenants' Council, Inc. dba the Roxse Tenants' Council",MA,USA
800,Robert D. Trogdon IV,SC,USA
801,Brooks Tractor Inc; Brooks Inc.,WI,USA
802,Cue Labs LLC,MN,USA
803,Maurice Jamie Welch D.D.S. A PC,AK,USA
804,Oxa Inc,MA,USA
805,"Capital A Insurance, LLC",PA,USA
806,"Nyhus Design Group Architects, P.C.",CA,USA
808,"Viator and Associates, Inc.",LA,USA
809,Vanguard Construction Solutions LLC,CT,USA
811,"Benton H.H. Chun, M.D., Inc., IVF Hawaii, Inc. (DBA) IVF Hawaii",HI,USA
812,ACCML Eagle LLC,CO,USA
813,"North & Nash, LLP",CA,USA
815,The Infinity Flats Condominium,NY,USA
816,Tim Wade McKelvey,OH,USA
818,Blackrock Design Group LLC,PA,USA
819,Palmetto Point Civic Association,FL,USA
820,Kathryn L. Dole Landscape Architect,CA,USA
821,Irvine Terrace Community Association,CA,USA
823,"Hollins Consulting, Inc.",CA,USA
824,"Nakae & Associates, Inc.",CA,USA
825,JSW Residential Design,VA,USA
826,Brigantino Enterprises (DBA) Daggett Station,CA,USA
827,Police Officers Association of Lodi,CA,USA
828,Michael A Hecker,HI,USA
829,"S. Groner Associates, Inc. DBA SGA Marketing ",CA,USA
831,"M & M Properties, LLP ",FL,USA
833,California Statewide Law Enforcement Association Legal Defense Fund,CA,USA
834,Elk Grove Benefits Employee Retirement Trust,CA,USA
835,"4 Par Properties, LLC",HI,USA
836,Windward Wellness LLC,HI,USA
837,"Crafts Way, LLC",HI,USA
838,"A Salon, Inc.",HI,USA
839,Priest Amistadi,CA,USA
