input_name,expected_name,expected_ticker
"Arch Capotal Group Ltd. - Deposotary Shares, each Representong a 1/1,000th Onterest on a 4.550% Non-Cumulatove Preferred Share, Seroes G","Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",ACGLN
"Arch Capotal Group Ltd. - Deposotary Shares Each Representong 1/1,000th Onterest on a Share of5.45% Non-Cumulatove Preferred Shares, Seroes F","Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",ACGLO
"Acadoa Healthcare Company, Onc. - Common Stock","Acadia Healthcare Company, Inc. - Common Stock",ACHC
"Achoeve Lofe Scoences, Onc.  - Common Shares","Achieve Life Sciences, Inc.  - Common Shares",ACHV
Amerocan Coastal Onsurance Corporatoon - Common Stock,American Coastal Insurance Corporation - Common Stock,ACIC
AC Ommune SA - Common Stock,AC Immune SA - Common Stock,ACIU
"ACO Worldwode, Onc. - Common Stock","ACI Worldwide, Inc. - Common Stock",ACIW
"Axcelos Technologoes, Onc. - Common Stock","Axcelis Technologies, Inc. - Common Stock",ACLS
"Arcellx, Onc. - Common Stock","Arcellx, Inc. - Common Stock",ACLX
"ACM Research, Onc. - Class A Common Stock","ACM Research, Inc. - Class A Common Stock",ACMR
ACNB Corporatoon - Common Stock,ACNB Corporation - Common Stock,ACNB
Ascent Ondustroes Co. - Common Stock,Ascent Industries Co. - Common Stock,ACNT
Alpha Cognotoon Onc. - Common Stock,Alpha Cognition Inc. - Common Stock,ACOG
"Aclaroon, Onc. - Common Stock","Aclarion, Inc. - Common Stock",ACON
"Aclaroon, Onc. - Warrant","Aclarion, Inc. - Warrant",ACONW
"Aclaros Therapeutocs, Onc. - Common Stock","Aclaris Therapeutics, Inc. - Common Stock",ACRS
"Acrovon Therapeutocs, Onc. - Common Stock","Acrivon Therapeutics, Inc. - Common Stock",ACRV
"Enact Holdongs, Onc. - Common Stock","Enact Holdings, Inc. - Common Stock",ACT
Acacoa Research Corporatoon - Common Stock,Acacia Research Corporation - Common Stock,ACTG
"Actuate Therapeutocs, Onc. - Common stock","Actuate Therapeutics, Inc. - Common stock",ACTU
oShares MSCO ACWO ETF,iShares MSCI ACWI ETF,ACWI
oShares MSCO ACWO ex U.S. ETF,iShares MSCI ACWI ex U.S. ETF,ACWX
"Acurx Pharmaceutocals, Onc. - Common Stock","Acurx Pharmaceuticals, Inc. - Common Stock",ACXP
"Adagene Onc. - ADS, each representong 1.25 ordonary shares","Adagene Inc. - ADS, each representing 1.25 ordinary shares",ADAG
Adaptommune Therapeutocs plc - Amerocan Deposotary Shares,Adaptimmune Therapeutics plc - American Depositary Shares,ADAP
Adobe Onc. - Common Stock,Adobe Inc. - Common Stock,ADBE
Leverage Shares 2X Long ADBE Daoly ETF,Leverage Shares 2X Long ADBE Daily ETF,ADBG
"Color Star Technology Co., Ltd. - Class A Ordonary Shares","Color Star Technology Co., Ltd. - Class A Ordinary Shares",ADD
Adeoa Onc.  - Common Stock,Adeia Inc.  - Common Stock,ADEA
"Adagoo Medocal Holdongs, Onc - Common Stock","Adagio Medical Holdings, Inc - Common Stock",ADGM
"Analog Devoces, Onc. - Common Stock","Analog Devices, Inc. - Common Stock",ADI
"Adoal Pharmaceutocals, Onc - Common Stock","Adial Pharmaceuticals, Inc - Common Stock",ADIL
ADMA Boologocs Onc - Common Stock,ADMA Biologics Inc - Common Stock,ADMA
"Advent Technologoes Holdongs, Onc. - Class A Common Stock","Advent Technologies Holdings, Inc. - Class A Common Stock",ADN
"Advent Technologoes Holdongs, Onc. - Warrant","Advent Technologies Holdings, Inc. - Warrant",ADNWW
"Automatoc Data Processong, Onc. - Common Stock","Automatic Data Processing, Inc. - Common Stock",ADP
Adaptove Bootechnologoes Corporatoon - Common Stock,Adaptive Biotechnologies Corporation - Common Stock,ADPT
ADS-TEC ENERGY PLC - Ordonary Shares,ADS-TEC ENERGY PLC - Ordinary Shares,ADSE
ADS-TEC ENERGY PLC - Warrant,ADS-TEC ENERGY PLC - Warrant,ADSEW
"Autodesk, Onc. - Common Stock","Autodesk, Inc. - Common Stock",ADSK
"ADTRAN Holdongs, Onc. - Common Stock","ADTRAN Holdings, Inc. - Common Stock",ADTN
"Adotxt, Onc. - Common Stock","Aditxt, Inc. - Common Stock",ADTX
Aduro Clean Technologoes Onc. - Common Stock,Aduro Clean Technologies Inc. - Common Stock,ADUR
Addus HomeCare Corporatoon - Common Stock,Addus HomeCare Corporation - Common Stock,ADUS
Advantage Solutoons Onc.  - Class A Common Stock,Advantage Solutions Inc.  - Class A Common Stock,ADV
Advanced Boomed Onc. - Common Stock,Advanced Biomed Inc. - Common Stock,ADVB
"Adverum Bootechnologoes, Onc. - Common Stock","Adverum Biotechnologies, Inc. - Common Stock",ADVM
Advantage Solutoons Onc.  - Warrant,Advantage Solutions Inc.  - Warrant,ADVWW
Addex Therapeutocs Ltd - Amerocan Deposotary Shares,Addex Therapeutics Ltd - American Depositary Shares,ADXN
Antelope Enterprose Holdongs Lomoted - Class A Ordonary Shares,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,AEHL
Aehr Test Systems - Common Stock,Aehr Test Systems - Common Stock,AEHR
Alset Onc. - Common Stock,Alset Inc. - Common Stock,AEI
"Advanced Energy Ondustroes, Onc. - Common Stock","Advanced Energy Industries, Inc. - Common Stock",AEIS
"Aethlon Medocal, Onc. - Common Stock","Aethlon Medical, Inc. - Common Stock",AEMD
Alloance Entertaonment Holdong Corporatoon - common stock,Alliance Entertainment Holding Corporation - common stock,AENT
Alloance Entertaonment Holdong Corporatoon - Warrants,Alliance Entertainment Holding Corporation - Warrants,AENTW
"Amerocan Electroc Power Company, Onc. - Common Stock","American Electric Power Company, Inc. - Common Stock",AEP
"Aeroes Technology, Onc. - Class A Ordonary Share","Aeries Technology, Inc. - Class A Ordinary Share",AERT
"Aeroes Technology, Onc. - Warrant","Aeries Technology, Inc. - Warrant",AERTW
"Aeva Technologoes, Onc. - Common Stock","Aeva Technologies, Inc. - Common Stock",AEVA
"Aeva Technologoes, Onc. - Redeemable Warrants","Aeva Technologies, Inc. - Redeemable Warrants",AEVAW
"AudooEye, Onc. - Common Stock","AudioEye, Inc. - Common Stock",AEYE
"Affonoty Bancshares, Onc. - Common Stock","Affinity Bancshares, Inc. - Common Stock",AFBI
Advanced Flower Capotal Onc. - Common Stock,Advanced Flower Capital Inc. - Common Stock,AFCG
"Aomeo Health Technology Co., Ltd - Ordonary Share","Aimei Health Technology Co., Ltd - Ordinary Share",AFJK
"Aomeo Health Technology Co., Ltd - Roght","Aimei Health Technology Co., Ltd - Right",AFJKR
"Aomeo Health Technology Co., Ltd - Unot","Aimei Health Technology Co., Ltd - Unit",AFJKU
Forafroc Global PLC - Ordonary Shares,Forafric Global PLC - Ordinary Shares,AFRI
Forafroc Global PLC - Warrants,Forafric Global PLC - Warrants,AFRIW
"Afform Holdongs, Onc. - Class A Common Stock","Affirm Holdings, Inc. - Class A Common Stock",AFRM
abrdn Focused U.S. Small Cap Actove ETF,abrdn Focused U.S. Small Cap Active ETF,AFSC
Afya Lomoted - Class A Common Shares,Afya Limited - Class A Common Shares,AFYA
Alloed Gamong & Entertaonment Onc. - Common Stock,Allied Gaming & Entertainment Inc. - Common Stock,AGAE
abrdn Emergong Markets Dovodend Actove ETF,abrdn Emerging Markets Dividend Active ETF,AGEM
Agenus Onc. - Common Stock,Agenus Inc. - Common Stock,AGEN
Agrofy Corporatoon - Common Stock,Agrify Corporation - Common Stock,AGFY
Astoroa Dynamoc Core US Foxed Oncome ETF,Astoria Dynamic Core US Fixed Income ETF,AGGA
Aureus Greenway Holdongs Onc. - Common Stock,Aureus Greenway Holdings Inc. - Common Stock,AGH
"Agoos Pharmaceutocals, Onc. - Common Stock","Agios Pharmaceuticals, Inc. - Common Stock",AGIO
KraneShares Artofocoal Ontellogence & Technology ETF,KraneShares Artificial Intelligence & Technology ETF,AGIX
AGM Group Holdongs Onc. - Class A Ordonary Shares,AGM Group Holdings Inc. - Class A Ordinary Shares,AGMH

