input_name,expected_name,expected_ticker
Afya Limited,Afya Limited - Class A Common Shares,AFYA
Allied Gaming,Allied Gaming & Entertainment Inc. - Common Stock,AGAE
abrdn Emerging,abrdn Emerging Markets Dividend Active ETF,AGEM
Agenus Inc.,Agenus Inc. - Common Stock,AGEN
Agrify Corporation,Agrify Corporation - Common Stock,AGFY
Astoria Dynamic,Astoria Dynamic Core US Fixed Income ETF,AGGA
Aureus Greenway,Aureus Greenway Holdings Inc. - Common Stock,AGH
"Agios Pharmaceuticals,","Agios Pharmaceuticals, Inc. - Common Stock",AGIO
KraneShares Artificial,KraneShares Artificial Intelligence & Technology ETF,AGIX
AGM Group,AGM Group Holdings Inc. - Class A Ordinary Shares,AGMH
Themes Silver,Themes Silver Miners ETF,AGMI
AGNC Investment,AGNC Investment Corp. - Common Stock,AGNC
AGNC Investment,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",AGNCL
AGNC Investment,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM
AGNC Investment,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",AGNCN
AGNC Investment,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",AGNCO
AGNC Investment,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",AGNCP
Global X,Global X Aging Population ETF,AGNG
AgriFORCE Growing,AgriFORCE  Growing Systems Ltd. - Common Shares,AGRI
"Agilysys, Inc.","Agilysys, Inc. - Common Stock",AGYS
WisdomTree Interest,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,AGZD
AdaptHealth Corp.,AdaptHealth Corp.  - Common Stock,AHCO
Akso Health,Akso Health Group - American Depositary Shares,AHG
iShares Asia,iShares Asia 50 ETF,AIA
Aifeex Nexus,Aifeex Nexus Acquisition Corporation - Class A Ordinary Shares,AIFE
Aifeex Nexus,Aifeex Nexus Acquisition Corporation - Right,AIFER
Aifeex Nexus,Aifeex Nexus Acquisition Corporation - Unit,AIFEU
"Firefly Neuroscience,","Firefly Neuroscience, Inc.  - Common Stock",AIFF
AIFU Inc.,AIFU Inc. - American Depositary Shares,AIFU
Senmiao Technology,Senmiao Technology Limited - Common Stock,AIHS
"Ainos, Inc.","Ainos, Inc. - Common Stock",AIMD
"Ainos, Inc.","Ainos, Inc. - warrants",AIMDW
"PowerFleet, Inc.","PowerFleet, Inc. - Common Stock",AIOT
"Arteris, Inc.","Arteris, Inc.  - Common Stock",AIP
REX AI,REX AI Equity Premium Income ETF,AIPI
Global X,Global X Artificial Intelligence & Technology ETF,AIQ
reAlpha Tech,reAlpha Tech Corp. - Common Stock,AIRE
"Airgain, Inc.","Airgain, Inc. - Common Stock",AIRG
AirJoule Technologies,AirJoule Technologies Corporation - Class A Common Stock,AIRJ
AirJoule Technologies,AirJoule Technologies Corporation - Warrant,AIRJW
Themes Airlines,Themes Airlines ETF,AIRL
First Trust,First Trust RBA American Industrial Renaissance ETF,AIRR
"AirSculpt Technologies,","AirSculpt Technologies, Inc. - Common Stock",AIRS
"Air T,","Air T, Inc. - Common Stock",AIRT
"Air T,","Air T, Inc. - Trust Preferred Securities",AIRTP
Airship AI,"Airship AI Holdings, Inc - Class A Common Stock",AISP
Airship AI,"Airship AI Holdings, Inc - Warrants",AISPW
XIAO-I Corporation,XIAO-I Corporation - American Depositary Shares,AIXI
"Akamai Technologies,","Akamai Technologies, Inc. - Common Stock",AKAM
Akanda Corp.,Akanda Corp. - Common Shares,AKAN
"Akebia Therapeutics,","Akebia Therapeutics, Inc. - Common Stock",AKBA
"Akero Therapeutics,","Akero Therapeutics, Inc. - Common Stock",AKRO
Akari Therapeutics,Akari Therapeutics Plc - American Depositary Shares,AKTX
"Akoya BioSciences,","Akoya BioSciences, Inc. - Common Stock",AKYA
"Astera Labs,","Astera Labs, Inc. - Common Stock",ALAB
Alarum Technologies,Alarum Technologies Ltd. - American Depositary Shares,ALAR
Avalon GloboCare,Avalon GloboCare Corp. - Common Stock,ALBT
"Alico, Inc.","Alico, Inc. - Common Stock",ALCO
Alchemy Investments,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,ALCY
Alchemy Investments,Alchemy Investments Acquisition Corp 1 - Units,ALCYU
Alchemy Investments,Alchemy Investments Acquisition Corp 1 - Warrants,ALCYW
Aldel Financial,Aldel Financial II Inc. - Class A Ordinary Shares,ALDF
Aldel Financial,Aldel Financial II Inc. - Units,ALDFU
Aldel Financial,Aldel Financial II Inc. - Warrants,ALDFW
"Aldeyra Therapeutics,","Aldeyra Therapeutics, Inc. - Common Stock",ALDX
"Alector, Inc.","Alector, Inc. - Common Stock",ALEC
Centurion Acquisition,Centurion Acquisition Corp. - Class A Ordinary Shares,ALF
Centurion Acquisition,Centurion Acquisition Corp. - Unit,ALFUU
Centurion Acquisition,Centurion Acquisition Corp. - Warrant,ALFUW
"Allegro MicroSystems,","Allegro MicroSystems, Inc. - Common Stock",ALGM
"Align Technology,","Align Technology, Inc. - Common Stock",ALGN
"Aligos Therapeutics,","Aligos Therapeutics, Inc. - Common stock",ALGS
Allegiant Travel,Allegiant Travel Company - Common Stock,ALGT
"Alignment Healthcare,","Alignment Healthcare, Inc. - Common Stock",ALHC
Argent Focused,Argent Focused Small Cap ETF,ALIL
Alkermes plc,Alkermes plc - Ordinary Shares,ALKS
"Alkami Technology,","Alkami Technology, Inc. - Common Stock",ALKT
"Allogene Therapeutics,","Allogene Therapeutics, Inc. - Common Stock",ALLO
"Allarity Therapeutics,","Allarity Therapeutics, Inc. - Common stock",ALLR
Allot Ltd.,Allot Ltd. - Ordinary Shares,ALLT
SPDR Bridgewater,SPDR Bridgewater All Weather ETF,ALLW
Alumis Inc.,Alumis Inc. - Common Stock,ALMS
"Aeluma, Inc.","Aeluma, Inc. - Common Stock",ALMU
Allient Inc.,Allient Inc. - Common Stock,ALNT
"Alnylam Pharmaceuticals,","Alnylam Pharmaceuticals, Inc. - Common Stock",ALNY
"AstroNova, Inc.","AstroNova, Inc. - Common Stock",ALOT
"Alarm.com Holdings,","Alarm.com Holdings, Inc. - Common Stock",ALRM
Alerus Financial,Alerus Financial Corporation - Common Stock,ALRS
"Altimmune, Inc.","Altimmune, Inc. - Common Stock",ALT
"AlTi Global,","AlTi Global, Inc. - Class A Common Stock",ALTI
"Alto Ingredients,","Alto Ingredients, Inc. - Common Stock",ALTO
ALT5 Sigma,ALT5 Sigma Corporation - Common Stock,ALTS
Global X,Global X Alternative Income ETF,ALTY
Alvotech -,Alvotech - Ordinary Shares,ALVO
Alvotech -,Alvotech - Warrant,ALVOW
ALX Oncology,ALX Oncology Holdings Inc. - Common Stock,ALXO
"Alzamend Neuro,","Alzamend Neuro, Inc. - Common Stock",ALZN
Amalgamated Financial,Amalgamated Financial Corp. - Common Stock,AMAL
"Applied Materials,","Applied Materials, Inc. - Common Stock",AMAT
"Ambarella, Inc.","Ambarella, Inc. - Ordinary Shares",AMBA
Amber International,Amber International Holding Limited - American Depositary Shares,AMBR
AMC Networks,AMC Networks Inc. - Class A Common Stock,AMCX
Advanced Micro,"Advanced Micro Devices, Inc. - Common Stock",AMD
Direxion Daily,Direxion Daily AMD Bear 1X Shares,AMDD
Leverage Shares,Leverage Shares 2X Long AMD Daily ETF,AMDG
GraniteShares 2x,GraniteShares 2x Long AMD Daily ETF,AMDL
GraniteShares 1x,GraniteShares 1x Short AMD Daily ETF,AMDS
Amedisys Inc,Amedisys Inc - Common Stock,AMED
Amgen Inc.,Amgen Inc. - Common Stock,AMGN
Argent Mid,Argent Mid Cap ETF,AMID
"Autonomix Medical,","Autonomix Medical, Inc. - Common Stock",AMIX
"Amkor Technology,","Amkor Technology, Inc. - Common Stock",AMKR
"Amylyx Pharmaceuticals,","Amylyx Pharmaceuticals, Inc. - Common Stock",AMLX
Alpha Modus,"Alpha Modus Holdings, Inc. - Class A Common Stock",AMOD
Alpha Modus,"Alpha Modus Holdings, Inc. - Warrant",AMODW
"Amplitech Group,","Amplitech Group, Inc. - Common Stock",AMPG
"Amplitech Group,","Amplitech Group, Inc. - Warrants",AMPGW
"Amphastar Pharmaceuticals,","Amphastar Pharmaceuticals, Inc. - Common Stock",AMPH
"Amplitude, Inc.","Amplitude, Inc. - Class A Common Stock",AMPL
A-Mark Precious,"A-Mark Precious Metals, Inc. - Common Stock",AMRK
Amarin Corporation,Amarin Corporation plc - American Depositary Shares,AMRN
"Amneal Pharmaceuticals,","Amneal Pharmaceuticals, Inc. - Class A Common Stock",AMRX
American Superconductor,American Superconductor Corporation - Common Stock,AMSC
"AMERISAFE, Inc.","AMERISAFE, Inc. - Common Stock",AMSF
Amesite Inc.,Amesite Inc. - Common Stock,AMST
"Aemetis, Inc","Aemetis, Inc - Common Stock",AMTX
Direxion Daily,Direxion Daily AMD Bull 2X Shares,AMUU
American Woodmark,American Woodmark Corporation - Common Stock,AMWD
Direxion Daily,Direxion Daily AMZN Bear 1X Shares,AMZD
"Amazon.com, Inc.","Amazon.com, Inc. - Common Stock",AMZN
Direxion Daily,Direxion Daily AMZN Bull 2X Shares,AMZU
GraniteShares 2x,GraniteShares 2x Long AMZN Daily ETF,AMZZ
"AnaptysBio, Inc.","AnaptysBio, Inc. - Common Stock",ANAB
"The Andersons,","The Andersons, Inc. - Common Stock",ANDE
"Anebulo Pharmaceuticals,","Anebulo Pharmaceuticals, Inc. - Common Stock",ANEB
Anghami Inc.,Anghami Inc. - Ordinary Shares,ANGH
Anghami Inc.,Anghami Inc. - Warrants,ANGHW
Angi Inc.,Angi Inc. - Class A Common Stock,ANGI
VanEck Fallen,VanEck Fallen Angel High Yield Bond ETF,ANGL
"AngioDynamics, Inc.","AngioDynamics, Inc. - Common Stock",ANGO
Anika Therapeutics,Anika Therapeutics Inc. - Common Stock,ANIK
"ANI Pharmaceuticals,","ANI Pharmaceuticals, Inc. - Common Stock",ANIP
"Anixa Biosciences,","Anixa Biosciences, Inc. - Common Stock",ANIX
Adlai Nortye,Adlai Nortye Ltd. - American Depositary Shares,ANL
"AleAnna, Inc.","AleAnna, Inc. - Class A Common Stock",ANNA
"AleAnna, Inc.","AleAnna, Inc. - Warrant",ANNAW
"Annexon, Inc.","Annexon, Inc. - common stock",ANNX
Agriculture &,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,ANSC
Agriculture &,Agriculture & Natural Solutions Acquisition Corporation - Unit,ANSCU
Agriculture &,Agriculture & Natural Solutions Acquisition Corporation - Warrant,ANSCW
"ANSYS, Inc.","ANSYS, Inc. - Common Stock",ANSS
Antalpha Platform,Antalpha Platform Holding Company - Ordinary Shares,ANTA
AirNet Technology,"AirNet Technology Inc. - American Depositary Shares, each representing one ordinary shares",ANTE
"AN2 Therapeutics,","AN2 Therapeutics, Inc. - Common Stock",ANTX
Sphere 3D,Sphere 3D Corp. - Common Shares,ANY
Angel Oak,Angel Oak High Yield Opportunities ETF,AOHY
Alpha and,Alpha and Omega Semiconductor Limited - Common Shares,AOSL
AOT Growth,AOT Growth and Innovation ETF,AOTG
American Outdoor,"American Outdoor Brands, Inc. - Common Stock",AOUT
APA Corporation,APA Corporation - Common Stock,APA
AppTech Payments,AppTech Payments Corp. - Common stock,APCX
AppTech Payments,AppTech Payments Corp. - Warrant,APCXW
Applied DNA,"Applied DNA Sciences, Inc. - Common Stock",APDN
STKd 100%,STKd 100% MSTR & 100% COIN ETF,APED
American Public,"American Public Education, Inc. - Common Stock",APEI
"Apogee Therapeutics,","Apogee Therapeutics, Inc. - Common Stock",APGE
"Agora, Inc.","Agora, Inc. - ADS",API
Applied Digital,Applied Digital Corporation - Common Stock,APLD
Apollomics Inc.,Apollomics Inc. - Class A Ordinary Shares,APLM
Apollomics Inc.,Apollomics Inc. - Warrant,APLMW
"Apellis Pharmaceuticals,","Apellis Pharmaceuticals, Inc. - Common Stock",APLS
"Applied Therapeutics,","Applied Therapeutics, Inc. - Common Stock",APLT
Aptorum Group,Aptorum Group Limited - Class A Ordinary Shares,APM
"Apogee Enterprises,","Apogee Enterprises, Inc. - Common Stock",APOG
Applovin Corporation,Applovin Corporation - Class A Common Stock,APP
"AppFolio, Inc.","AppFolio, Inc. - Class A Common Stock",APPF
Appian Corporation,Appian Corporation - Class A Common Stock,APPN
"Digital Turbine,","Digital Turbine, Inc. - Common Stock",APPS
Tradr 2X,Tradr 2X Long APP Daily ETF,APPX
"Aprea Therapeutics,","Aprea Therapeutics, Inc. - Common Stock",APRE
Aptevo Therapeutics,Aptevo Therapeutics Inc. - Common Stock,APVO
Asia Pacific,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",APWC
Apyx Medical,Apyx Medical Corporation - Common Stock,APYX
"AquaBounty Technologies,","AquaBounty Technologies, Inc. - Common Stock",AQB
"Aqua Metals,","Aqua Metals, Inc. - Common Stock",AQMS
"Aquestive Therapeutics,","Aquestive Therapeutics, Inc. - Common Stock",AQST
Global X,Global X Clean Water ETF,AQWA
Arrive AI,Arrive AI Inc. - Common Stock,ARAI
Accuray Incorporated,Accuray Incorporated - Common Stock,ARAY
ARB IOT,ARB IOT Group Limited - Ordinary Shares,ARBB
Arbe Robotics,Arbe Robotics Ltd. - Ordinary Shares,ARBE
Arbe Robotics,Arbe Robotics Ltd. - Warrant,ARBEW
Argo Blockchain,Argo Blockchain plc - American Depositary Shares,ARBK
Argo Blockchain,Argo Blockchain plc - 8.75% Senior Notes due 2026,ARBKL
ArcBest Corporation,ArcBest Corporation - Common Stock,ARCB
Ares Capital,Ares Capital Corporation - Closed End Fund,ARCC
Arcturus Therapeutics,Arcturus Therapeutics Holdings Inc. - Common Stock,ARCT
"Ardelyx, Inc.","Ardelyx, Inc. - Common Stock",ARDX
American Rebel,"American Rebel Holdings, Inc. - Common Stock",AREB
American Rebel,"American Rebel Holdings, Inc. - warrants",AREBW
American Resources,American Resources Corporation - Class A Common Stock,AREC
argenx SE,argenx SE - American Depositary Shares,ARGX
"Arhaus, Inc.","Arhaus, Inc. - Class A Common Stock",ARHS
ARKO Corp.,ARKO Corp. - Common Stock,ARKO
ARKO Corp.,ARKO Corp. - Warrant,ARKOW
Ark Restaurants,Ark Restaurants Corp. - Common Stock,ARKR
Alliance Resource,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",ARLP
Arm Holdings,Arm Holdings plc - American Depositary Shares,ARM
Leverage Shares,Leverage Shares 2X Long ARM Daily ETF,ARMG
Arrow Financial,Arrow Financial Corporation - Common Stock,AROW
"Arq, Inc.","Arq, Inc. - Common Stock",ARQ
Arqit Quantum,Arqit Quantum Inc. - Ordinary Shares,ARQQ
Arqit Quantum,Arqit Quantum Inc. - Warrants,ARQQW
"Arcutis Biotherapeutics,","Arcutis Biotherapeutics, Inc. - Common stock",ARQT
"Array Technologies,","Array Technologies, Inc. - Common Stock",ARRY
"Artelo Biosciences,","Artelo Biosciences, Inc. - Common Stock",ARTL
Artesian Resources,Artesian Resources Corporation - Class A Non-Voting Common Stock,ARTNA
"Artiva Biotherapeutics,","Artiva Biotherapeutics, Inc. - Common Stock",ARTV
Art's-Way Manufacturing,"Art's-Way Manufacturing Co., Inc. - Common Stock",ARTW
"Arvinas, Inc.","Arvinas, Inc. - Common Stock",ARVN
First Trust,First Trust Indxx Metaverse ETF,ARVR
"Arrowhead Pharmaceuticals,","Arrowhead Pharmaceuticals, Inc. - Common Stock",ARWR
Aspire Biopharma,"Aspire Biopharma Holdings, Inc.  - Common Stock",ASBP
Aspire Biopharma,"Aspire Biopharma Holdings, Inc.  - Warrant",ASBPW
FlexShares Real,FlexShares Real Assets Allocation Index Fund,ASET
AerSale Corporation,AerSale Corporation - Common Stock,ASLE
"Assembly Biosciences,","Assembly Biosciences, Inc. - Common Stock",ASMB
Leverage Shares,Leverage Shares 2X Long ASML Daily ETF,ASMG
ASML Holding,ASML Holding N.V. - New York Registry Shares,ASML
Ascendis Pharma,Ascendis Pharma A/S - American Depositary Shares,ASND
"Actelis Networks,","Actelis Networks, Inc. - Common Stock",ASNS
Academy Sports,"Academy Sports and Outdoors, Inc. - Common Stock",ASO
A SPAC,A SPAC III Acquisition Corp. - Class A Ordinary Shares,ASPC
A SPAC,A SPAC III Acquisition Corp. - Right,ASPCR
A SPAC,A SPAC III Acquisition Corp. - Unit,ASPCU
ASP Isotopes,ASP Isotopes Inc. - Common Stock,ASPI
Altisource Portfolio,Altisource Portfolio Solutions S.A. - Common Stock,ASPS
Altisource Portfolio,Altisource Portfolio Solutions S.A. - Net Settle Stakeholder Warrants,ASPSW
Altisource Portfolio,Altisource Portfolio Solutions S.A. - Cash Exercise Stakeholder Warrants,ASPSZ
"Assertio Holdings,","Assertio Holdings, Inc. - Common Stock",ASRT
AmeriServ Financial,AmeriServ Financial Inc. - Common Stock,ASRV
Asset Entities,Asset Entities Inc. - Class B Common Stock,ASST
Astrotech Corporation,Astrotech Corporation - Common Stock,ASTC
"Astec Industries,","Astec Industries, Inc. - Common Stock",ASTE
Astrana Health,Astrana Health Inc. - Common Stock,ASTH
Ascent Solar,"Ascent Solar Technologies, Inc - Common Stock",ASTI
Algoma Steel,Algoma Steel Group Inc. - Common Shares,ASTL
Algoma Steel,Algoma Steel Group Inc. - Warrant,ASTLW
"AST SpaceMobile,","AST SpaceMobile, Inc. - Class A Common Stock",ASTS
Asure Software,Asure Software Inc - Common Stock,ASUR
"Amtech Systems,","Amtech Systems, Inc. - Common Stock",ASYS
ATAI Life,ATAI Life Sciences N.V. - Common Shares,ATAI
Atour Lifestyle,Atour Lifestyle Holdings Limited - American Depositary Shares,ATAT
Atlas Corp.,Atlas Corp. - 7.125% Notes due 2027,ATCOL
"Alphatec Holdings,","Alphatec Holdings, Inc. - Common Stock",ATEC
"Aterian, Inc.","Aterian, Inc. - Common Stock",ATER
Anterix Inc.,Anterix Inc. - Common Stock,ATEX
Alpha Technology,Alpha Technology Group Limited - Class A Ordinary Shares,ATGL
"Athira Pharma,","Athira Pharma, Inc. - Common Stock",ATHA
Alterity Therapeutics,Alterity Therapeutics Limited - American Depositary Shares,ATHE
"Aether Holdings,","Aether Holdings, Inc. - Common Stock",ATHR
Archimedes Tech,Archimedes Tech SPAC Partners II Co. - Ordinary Shares,ATII
Archimedes Tech,Archimedes Tech SPAC Partners II Co. - Unit,ATIIU
Archimedes Tech,Archimedes Tech SPAC Partners II Co. - Warrant,ATIIW
Atlanticus Holdings,Atlanticus Holdings Corporation - Common Stock,ATLC
Atlanticus Holdings,Atlanticus Holdings Corporation - 6.125% Senior Notes due 2026,ATLCL
Atlanticus Holdings,"Atlanticus Holdings Corporation - 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",ATLCP
Atlanticus Holdings,Atlanticus Holdings Corporation - 9.25% Senior Notes due 2029,ATLCZ
Atlantic International,Atlantic International Corp. - Common Stock,ATLN
Ames National,Ames National Corporation - Common Stock,ATLO
Atlas Lithium,Atlas Lithium Corporation - Common Stock,ATLX
AlphaTime Acquisition,AlphaTime Acquisition Corp - Ordinary Shares,ATMC
AlphaTime Acquisition,AlphaTime Acquisition Corp - Right,ATMCR
AlphaTime Acquisition,AlphaTime Acquisition Corp - Unit,ATMCU
AlphaTime Acquisition,AlphaTime Acquisition Corp - Warrant,ATMCW
