"input_name","expected_name","expected_ticker"
"Northeast Consumers","Northeast Consumers Electric Systems Association",""
"T-Squared Site","T-Squared Site Services, LLC",""
"Retirement Plan","Retirement Plan for Hospital Employees",""
"KCL Engineering","KCL Engineering LLC",""
"Herzog & ","Herzog & de Meuron US Inc.",""
"Raymond Martin","Raymond Martin Data Systems, LLC",""
"Bushwang LLC","Bushwang LLC",""
"Flash Electric","Flash Electric, LLC",""
"Material Solutions","Material Solutions Laboratory Inc",""
"Judge Baker","Judge Baker Children's Center, Inc.",""
"Quality Control","Quality Control Services LLC",""
"GLM Group","GLM Group Holdings LLC",""
"Tom Green","Tom Green Engineering",""
"Keller Studio","Keller Studio, Inc.",""
"NTA Engineering","NTA Engineering, PC",""
"Empirical Insurance","Empirical Insurance LLC",""
"B&D Industrial","B&D Industrial, Inc.",""
"Resilient Benefits","Resilient Benefits, Inc.",""
"BFDI Educational","BFDI Educational Services, Inc.",""
"Capitol Resources","Capitol Resources, LLC",""
"J. Patrick","J. Patrick Byrne CPA",""
"Automated Power","Automated Power Inc.",""
"William Penn","William Penn Association",""
"Canzian/Johnston","Canzian/Johnston & Associates LLC",""
"William J","William J Masiello Architect Inc",""
"LB Transportation","LB Transportation Consulting Inc dba Kismuth Consulting ",""
"Cives Engineering","Cives Engineering Corporation",""
"La Bota","La Bota Ranch Owners Association",""
"Stemilt Ag","Stemilt Ag Services, LLC",""
"Wiedeman and","Wiedeman and Singleton, Inc.",""
"JBM Planning","JBM Planning and Consulting, LLC",""
"Norby Associates","Norby Associates Landscape Architects, LLC;  Norby Golf Course Design, Inc",""
"Fadjar Kusumo","Fadjar Kusumo Rahardjo",""
"Barry Insurance","Barry Insurance, Inc",""
"Design Visions","Design Visions LLC",""
"Solxsys Administrative","Solxsys Administrative Solutions, LLC",""
"V1 Engineering","V1 Engineering, LLC",""
"Alliance Safety","Alliance Safety Council",""
"Maarky Thermal","Maarky Thermal Systems, Inc.",""
"Re/Insurance Brokers","Re/Insurance Brokers, Inc.",""
"Barker Architects","Barker Architects, PLLC",""
"Glazd, Inc.","Glazd, Inc.",""
"Sisu Energy","Sisu Energy & Environmental, LLC",""
"Silicon Valley","Silicon Valley Contractors Association",""
"Independent Insurance","Independent Insurance Agents of West Virginia, Inc.",""
"Moreno-Vacca","Moreno-Vacca Architect & Associates",""
"Committee for","Committee for Recognition of Nursing Achievement",""
"J.J. Bafaro","J.J. Bafaro, Inc",""
"Seattle Police","Seattle Police Relief Association",""
